# component	locked_baseline	upstream_commit_or_bug	classification	cve	decision	primary_source
lua	5.1.5	Lua-5.2.2-1	fixed-parameter-vararg-stack-overflow	CVE-2014-5461	already-covered-by-locked-QSDK-extension	https://www.lua.org/bugs.html#5.2.2-1
lua	5.1.5	d5728cb5795c966c5b5b1e0f0ac576a7e69af539	parser-chunk-name-GC-use-after-free	CVE-2025-49844	backport	https://github.com/redis/redis/commit/d5728cb5795c966c5b5b1e0f0ac576a7e69af539
lua	5.1.5	Lua-5.2.3-1	table-unpack-signed-overflow	-	backport	https://www.lua.org/bugs.html#5.2.3-1
lua	5.1.5	Lua-5.2.3-3	parser-line-overflow-uninitialized-token	-	backport	https://www.lua.org/bugs.html#5.2.3-3
ubus-lua	b32a0e17b37847e8357b53a358d1311bfc3ad5d2	3ab9d77595457f56ed1f26350ce15d308e50f09f	non-table-lua_next-crash	-	backport	https://git.openwrt.org/project/ubus/commit/?id=3ab9d77595457f56ed1f26350ce15d308e50f09f
ubus-lua	b32a0e17b37847e8357b53a358d1311bfc3ad5d2	43051ca73aec19c53d20e17e0e37a8ebd7d52d56	unchecked-allocation-null-deref-and-leak	-	backport	https://git.openwrt.org/project/ubus/commit/?id=43051ca73aec19c53d20e17e0e37a8ebd7d52d56
libubus	b32a0e17b37847e8357b53a358d1311bfc3ad5d2	4b274055ede3d58ceaf2ddb21bd20bcb3d26532f	queue-allocation-null-deref	-	core-blocker	https://git.openwrt.org/project/ubus/commit/?id=4b274055ede3d58ceaf2ddb21bd20bcb3d26532f
libubus	b32a0e17b37847e8357b53a358d1311bfc3ad5d2	8b5be570f13e49adf0ccc1c4fb77b0649992842d	acl-allocation-dangling-pointers	-	core-blocker	https://git.openwrt.org/project/ubus/commit/?id=8b5be570f13e49adf0ccc1c4fb77b0649992842d
libubus	b32a0e17b37847e8357b53a358d1311bfc3ad5d2	f787c97b34894a38b15599886cacbca01271684f	shutdown-registered-fd-use-after-free-risk	-	core-blocker-binding-close	https://git.openwrt.org/project/ubus/commit/?id=f787c97b34894a38b15599886cacbca01271684f
libubus	b32a0e17b37847e8357b53a358d1311bfc3ad5d2	d996988ae55b6af12e4611fdd758a2f0ad27a9a1	deferred-request-file-descriptor-leak	-	core-blocker-binding-deferred-request	https://git.openwrt.org/project/ubus/commit/?id=d996988ae55b6af12e4611fdd758a2f0ad27a9a1
libubus	b32a0e17b37847e8357b53a358d1311bfc3ad5d2	f29767f90af112040cdf8a1ee402e5d3d48115b3	message-file-descriptor-leaks	-	core-blocker	https://git.openwrt.org/project/ubus/commit/?id=f29767f90af112040cdf8a1ee402e5d3d48115b3
libubus	b32a0e17b37847e8357b53a358d1311bfc3ad5d2	5849870f2251e7ca67804510446a4d6ca9e9dba2	request-file-descriptor-leaks	-	core-blocker	https://git.openwrt.org/project/ubus/commit/?id=5849870f2251e7ca67804510446a4d6ca9e9dba2
libubus	b32a0e17b37847e8357b53a358d1311bfc3ad5d2	8188f5ce8564e7f4114e2db2dded1e6361957b2a	receive-error-file-descriptor-leak	-	core-blocker	https://git.openwrt.org/project/ubus/commit/?id=8188f5ce8564e7f4114e2db2dded1e6361957b2a
libubus	b32a0e17b37847e8357b53a358d1311bfc3ad5d2	bcc45ca981fd61e11934776bcee18f628156a7f7	missing-FD_CLOEXEC	-	core-blocker	https://git.openwrt.org/project/ubus/commit/?id=bcc45ca981fd61e11934776bcee18f628156a7f7
libubus	b32a0e17b37847e8357b53a358d1311bfc3ad5d2	747013f6ea05a168d000531553f8de90f8b87b7f	reconnect-stale-fd-double-close	-	core-blocker	https://git.openwrt.org/project/ubus/commit/?id=747013f6ea05a168d000531553f8de90f8b87b7f
uci-lua	415f9e48436d29f612348f58f546b3ad8d74ac38	19ceff323f1e2e7df26031a9fae29fff2edc65bd	changes-config-list-leak	-	backport	https://git.openwrt.org/project/uci/commit/?id=19ceff323f1e2e7df26031a9fae29fff2edc65bd
uci-lua	415f9e48436d29f612348f58f546b3ad8d74ac38	39093f3b040df895da812e2932b55feeeb1201df	empty-table-error-buffer-leak	-	backport	https://git.openwrt.org/project/uci/commit/?id=39093f3b040df895da812e2932b55feeeb1201df
libuci	415f9e48436d29f612348f58f546b3ad8d74ac38	a3e650911f5e6f67dcff09974df3775dfd615da6	parse-package-heap-use-after-free	-	already-covered-by-QSDK-001	https://git.openwrt.org/project/uci/commit/?id=a3e650911f5e6f67dcff09974df3775dfd615da6
libuci	415f9e48436d29f612348f58f546b3ad8d74ac38	eae126f66663e5c73e5d290b8e3134449489340f	strtok-buffer-overread	-	already-covered-by-QSDK-002	https://git.openwrt.org/project/uci/commit/?id=eae126f66663e5c73e5d290b8e3134449489340f
libuci	415f9e48436d29f612348f58f546b3ad8d74ac38	aa5e77a13d955ac9b497efc015c957c475734f0d	parse-config-use-after-realloc	-	core-blocker	https://git.openwrt.org/project/uci/commit/?id=aa5e77a13d955ac9b497efc015c957c475734f0d
